Training Log - 1M_Exp3_XLBatch
Started at: 2026-03-21 08:32:59.350267
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0001
Gamma: 0.99
Batch Size: 128
Epsilon: start=1.0, end=0.05, decay=0.995
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 71000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 216.43
Timestep: 72000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 217.29
Timestep: 73000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 217.47
Timestep: 74000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 217.08
Timestep: 75000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 215.43
Timestep: 76000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 216.20
Timestep: 77000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.85
Timestep: 78000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.96
Timestep: 79000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 214.99
Timestep: 80000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 215.17
Timestep: 81000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.46
Timestep: 82000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 215.02
Timestep: 83000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 215.71
Timestep: 84000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 217.05
Timestep: 85000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 217.32
Timestep: 86000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 218.64
Timestep: 87000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 219.42
Timestep: 88000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 219.04
Timestep: 89000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 218.16
Timestep: 90000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 218.95
Timestep: 91000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 220.20
Timestep: 92000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 220.09
Timestep: 93000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 220.80
Timestep: 94000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 220.78
Timestep: 95000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 220.43
Timestep: 96000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 220.61
Timestep: 97000, Mean Reward (last 100): -20.51, Mean Episode Length (last 100): 221.00
Timestep: 98000, Mean Reward (last 100): -20.51, Mean Episode Length (last 100): 220.42
Timestep: 99000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 221.19
Timestep: 100000, Mean Reward (last 100): -20.51, Mean Episode Length (last 100): 221.20
Timestep: 101000, Mean Reward (last 100): -20.51, Mean Episode Length (last 100): 220.08
Timestep: 102000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 219.20
Timestep: 103000, Mean Reward (last 100): -20.49, Mean Episode Length (last 100): 220.19
Timestep: 104000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 219.63
Timestep: 105000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 219.70
Timestep: 106000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 219.21
Timestep: 107000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 219.26
Timestep: 108000, Mean Reward (last 100): -20.51, Mean Episode Length (last 100): 218.97
Timestep: 109000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 219.21
Timestep: 110000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 220.07
Timestep: 111000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 220.24
Timestep: 112000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 219.50
Timestep: 113000, Mean Reward (last 100): -20.51, Mean Episode Length (last 100): 219.24
Timestep: 114000, Mean Reward (last 100): -20.49, Mean Episode Length (last 100): 220.46
Timestep: 115000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 220.42
Timestep: 116000, Mean Reward (last 100): -20.51, Mean Episode Length (last 100): 221.37
Timestep: 117000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 221.49
Timestep: 118000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 220.49
Timestep: 119000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 220.67
Timestep: 120000, Mean Reward (last 100): -20.49, Mean Episode Length (last 100): 221.36
Timestep: 121000, Mean Reward (last 100): -20.46, Mean Episode Length (last 100): 221.60
Timestep: 122000, Mean Reward (last 100): -20.48, Mean Episode Length (last 100): 220.85
Timestep: 123000, Mean Reward (last 100): -20.46, Mean Episode Length (last 100): 222.20
Timestep: 124000, Mean Reward (last 100): -20.44, Mean Episode Length (last 100): 223.24
Timestep: 125000, Mean Reward (last 100): -20.44, Mean Episode Length (last 100): 222.63
Timestep: 126000, Mean Reward (last 100): -20.43, Mean Episode Length (last 100): 223.76
Timestep: 127000, Mean Reward (last 100): -20.42, Mean Episode Length (last 100): 224.39
Timestep: 128000, Mean Reward (last 100): -20.41, Mean Episode Length (last 100): 224.73
Timestep: 129000, Mean Reward (last 100): -20.43, Mean Episode Length (last 100): 224.27
Timestep: 130000, Mean Reward (last 100): -20.42, Mean Episode Length (last 100): 224.74
Timestep: 131000, Mean Reward (last 100): -20.48, Mean Episode Length (last 100): 223.62
Timestep: 132000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 222.83
Timestep: 133000, Mean Reward (last 100): -20.49, Mean Episode Length (last 100): 222.56
Timestep: 134000, Mean Reward (last 100): -20.49, Mean Episode Length (last 100): 222.64
Timestep: 135000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 222.98
Timestep: 136000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 221.73
Timestep: 137000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 221.31
Timestep: 138000, Mean Reward (last 100): -20.51, Mean Episode Length (last 100): 221.50
Timestep: 139000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 221.85
Timestep: 140000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 223.40
Timestep: 141000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 223.44
Timestep: 142000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 223.61
Timestep: 143000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 222.92
Timestep: 144000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 223.80
Timestep: 145000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 223.61
Timestep: 146000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 223.60
Timestep: 147000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 222.88
Timestep: 148000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 222.38
Timestep: 149000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 221.40
Timestep: 150000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 222.47
Timestep: 151000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 222.99
Timestep: 152000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 221.90
Timestep: 153000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 221.46
Timestep: 154000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 221.65
Timestep: 155000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 223.10
Timestep: 156000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 223.59
Timestep: 157000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 223.25
Timestep: 158000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 224.10
Timestep: 159000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 225.59
Timestep: 160000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 225.40
Timestep: 161000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 226.19
Timestep: 162000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 225.71
Timestep: 163000, Mean Reward (last 100): -20.45, Mean Episode Length (last 100): 226.57
Timestep: 164000, Mean Reward (last 100): -20.42, Mean Episode Length (last 100): 227.11
Timestep: 165000, Mean Reward (last 100): -20.40, Mean Episode Length (last 100): 227.72
Timestep: 166000, Mean Reward (last 100): -20.40, Mean Episode Length (last 100): 227.96
Timestep: 167000, Mean Reward (last 100): -20.40, Mean Episode Length (last 100): 228.56
Timestep: 168000, Mean Reward (last 100): -20.38, Mean Episode Length (last 100): 228.88
Timestep: 169000, Mean Reward (last 100): -20.38, Mean Episode Length (last 100): 229.87
Timestep: 170000, Mean Reward (last 100): -20.36, Mean Episode Length (last 100): 230.83
Timestep: 171000, Mean Reward (last 100): -20.36, Mean Episode Length (last 100): 231.80
Timestep: 172000, Mean Reward (last 100): -20.35, Mean Episode Length (last 100): 233.27
Timestep: 173000, Mean Reward (last 100): -20.35, Mean Episode Length (last 100): 232.49
Timestep: 174000, Mean Reward (last 100): -20.36, Mean Episode Length (last 100): 231.95
Timestep: 175000, Mean Reward (last 100): -20.34, Mean Episode Length (last 100): 232.55
Timestep: 176000, Mean Reward (last 100): -20.32, Mean Episode Length (last 100): 233.29
Timestep: 177000, Mean Reward (last 100): -20.34, Mean Episode Length (last 100): 233.26
