Training Log - 1M_Exp1_Balanced
Started at: 2026-03-20 18:51:30.745002
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0001
Gamma: 0.99
Batch Size: 32
Epsilon: start=1.0, end=0.05, decay=0.995
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 71000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 212.10
Timestep: 72000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 213.00
Timestep: 73000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 212.92
Timestep: 74000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.01
Timestep: 75000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 213.92
Timestep: 76000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.07
Timestep: 77000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 213.39
Timestep: 78000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 213.96
Timestep: 79000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 213.45
Timestep: 80000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 212.58
Timestep: 81000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 212.91
Timestep: 82000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 213.43
Timestep: 83000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 213.83
Timestep: 84000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 214.04
Timestep: 85000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 213.50
Timestep: 86000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 213.56
Timestep: 87000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.84
Timestep: 88000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 212.83
Timestep: 89000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 212.96
Timestep: 90000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 213.34
Timestep: 91000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.84
Timestep: 92000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.95
Timestep: 93000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.61
Timestep: 94000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.46
Timestep: 95000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 214.10
Timestep: 96000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 214.46
Timestep: 97000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.97
Timestep: 98000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 216.08
Timestep: 99000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 216.53
Timestep: 100000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 216.84
Timestep: 101000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 216.49
Timestep: 102000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 216.96
Timestep: 103000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 218.22
Timestep: 104000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 218.70
Timestep: 105000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 218.35
Timestep: 106000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 218.82
Timestep: 107000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 218.45
Timestep: 108000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 218.68
Timestep: 109000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 218.96
Timestep: 110000, Mean Reward (last 100): -20.47, Mean Episode Length (last 100): 221.10
Timestep: 111000, Mean Reward (last 100): -20.47, Mean Episode Length (last 100): 221.96
Timestep: 112000, Mean Reward (last 100): -20.48, Mean Episode Length (last 100): 222.52
Timestep: 113000, Mean Reward (last 100): -20.47, Mean Episode Length (last 100): 222.70
Timestep: 114000, Mean Reward (last 100): -20.47, Mean Episode Length (last 100): 222.19
Timestep: 115000, Mean Reward (last 100): -20.47, Mean Episode Length (last 100): 222.79
Timestep: 116000, Mean Reward (last 100): -20.47, Mean Episode Length (last 100): 222.53
Timestep: 117000, Mean Reward (last 100): -20.44, Mean Episode Length (last 100): 223.27
Timestep: 118000, Mean Reward (last 100): -20.42, Mean Episode Length (last 100): 224.77
Timestep: 119000, Mean Reward (last 100): -20.45, Mean Episode Length (last 100): 224.40
Timestep: 120000, Mean Reward (last 100): -20.46, Mean Episode Length (last 100): 223.00
Timestep: 121000, Mean Reward (last 100): -20.44, Mean Episode Length (last 100): 223.40
Timestep: 122000, Mean Reward (last 100): -20.46, Mean Episode Length (last 100): 223.21
Timestep: 123000, Mean Reward (last 100): -20.43, Mean Episode Length (last 100): 223.67
Timestep: 124000, Mean Reward (last 100): -20.38, Mean Episode Length (last 100): 224.58
Timestep: 125000, Mean Reward (last 100): -20.44, Mean Episode Length (last 100): 222.07
Timestep: 126000, Mean Reward (last 100): -20.44, Mean Episode Length (last 100): 221.95
Timestep: 127000, Mean Reward (last 100): -20.43, Mean Episode Length (last 100): 221.46
Timestep: 128000, Mean Reward (last 100): -20.41, Mean Episode Length (last 100): 221.41
Timestep: 129000, Mean Reward (last 100): -20.38, Mean Episode Length (last 100): 222.77
Timestep: 130000, Mean Reward (last 100): -20.41, Mean Episode Length (last 100): 222.50
Timestep: 131000, Mean Reward (last 100): -20.40, Mean Episode Length (last 100): 223.69
Timestep: 132000, Mean Reward (last 100): -20.44, Mean Episode Length (last 100): 221.64
Timestep: 133000, Mean Reward (last 100): -20.39, Mean Episode Length (last 100): 222.26
Timestep: 134000, Mean Reward (last 100): -20.37, Mean Episode Length (last 100): 223.03
Timestep: 135000, Mean Reward (last 100): -20.42, Mean Episode Length (last 100): 221.87
Timestep: 136000, Mean Reward (last 100): -20.39, Mean Episode Length (last 100): 222.99
Timestep: 137000, Mean Reward (last 100): -20.41, Mean Episode Length (last 100): 222.06
Timestep: 138000, Mean Reward (last 100): -20.39, Mean Episode Length (last 100): 223.53
Timestep: 139000, Mean Reward (last 100): -20.36, Mean Episode Length (last 100): 224.59
Timestep: 140000, Mean Reward (last 100): -20.41, Mean Episode Length (last 100): 223.49
Timestep: 141000, Mean Reward (last 100): -20.42, Mean Episode Length (last 100): 223.24
Timestep: 142000, Mean Reward (last 100): -20.41, Mean Episode Length (last 100): 223.83
Timestep: 143000, Mean Reward (last 100): -20.42, Mean Episode Length (last 100): 224.03
Timestep: 144000, Mean Reward (last 100): -20.44, Mean Episode Length (last 100): 224.08
Timestep: 145000, Mean Reward (last 100): -20.46, Mean Episode Length (last 100): 223.18
Timestep: 146000, Mean Reward (last 100): -20.49, Mean Episode Length (last 100): 222.39
Timestep: 147000, Mean Reward (last 100): -20.47, Mean Episode Length (last 100): 223.88
Timestep: 148000, Mean Reward (last 100): -20.41, Mean Episode Length (last 100): 225.43
Timestep: 149000, Mean Reward (last 100): -20.42, Mean Episode Length (last 100): 225.36
Timestep: 150000, Mean Reward (last 100): -20.41, Mean Episode Length (last 100): 225.98
Timestep: 151000, Mean Reward (last 100): -20.42, Mean Episode Length (last 100): 224.82
Timestep: 152000, Mean Reward (last 100): -20.40, Mean Episode Length (last 100): 225.83
Timestep: 153000, Mean Reward (last 100): -20.40, Mean Episode Length (last 100): 225.23
Timestep: 154000, Mean Reward (last 100): -20.40, Mean Episode Length (last 100): 224.60
Timestep: 155000, Mean Reward (last 100): -20.37, Mean Episode Length (last 100): 225.85
Timestep: 156000, Mean Reward (last 100): -20.40, Mean Episode Length (last 100): 225.61
Timestep: 157000, Mean Reward (last 100): -20.40, Mean Episode Length (last 100): 225.04
Timestep: 158000, Mean Reward (last 100): -20.38, Mean Episode Length (last 100): 226.50
Timestep: 159000, Mean Reward (last 100): -20.38, Mean Episode Length (last 100): 225.96
Timestep: 160000, Mean Reward (last 100): -20.39, Mean Episode Length (last 100): 224.99
Timestep: 161000, Mean Reward (last 100): -20.41, Mean Episode Length (last 100): 223.98
Timestep: 162000, Mean Reward (last 100): -20.42, Mean Episode Length (last 100): 222.27
Timestep: 163000, Mean Reward (last 100): -20.39, Mean Episode Length (last 100): 222.89
Timestep: 164000, Mean Reward (last 100): -20.38, Mean Episode Length (last 100): 223.03
Timestep: 165000, Mean Reward (last 100): -20.33, Mean Episode Length (last 100): 224.23
Timestep: 166000, Mean Reward (last 100): -20.33, Mean Episode Length (last 100): 224.12
Timestep: 167000, Mean Reward (last 100): -20.32, Mean Episode Length (last 100): 225.16
Timestep: 168000, Mean Reward (last 100): -20.31, Mean Episode Length (last 100): 226.35
Timestep: 169000, Mean Reward (last 100): -20.33, Mean Episode Length (last 100): 226.40
Timestep: 170000, Mean Reward (last 100): -20.33, Mean Episode Length (last 100): 227.21
Timestep: 171000, Mean Reward (last 100): -20.39, Mean Episode Length (last 100): 225.91
Timestep: 172000, Mean Reward (last 100): -20.39, Mean Episode Length (last 100): 226.02
Timestep: 173000, Mean Reward (last 100): -20.37, Mean Episode Length (last 100): 227.01
Timestep: 174000, Mean Reward (last 100): -20.41, Mean Episode Length (last 100): 226.70
Timestep: 175000, Mean Reward (last 100): -20.44, Mean Episode Length (last 100): 226.46
Timestep: 176000, Mean Reward (last 100): -20.47, Mean Episode Length (last 100): 226.43
Timestep: 177000, Mean Reward (last 100): -20.46, Mean Episode Length (last 100): 227.74
Timestep: 178000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 227.57
Timestep: 179000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 227.09
Timestep: 180000, Mean Reward (last 100): -20.51, Mean Episode Length (last 100): 227.25
Timestep: 181000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 226.18
Timestep: 182000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 227.94
Timestep: 183000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 227.09
Timestep: 184000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 227.96
Timestep: 185000, Mean Reward (last 100): -20.51, Mean Episode Length (last 100): 229.18
Timestep: 186000, Mean Reward (last 100): -20.49, Mean Episode Length (last 100): 231.06
Timestep: 187000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 229.95
Timestep: 188000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 230.09
Timestep: 189000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 230.53
Timestep: 190000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 230.54
Timestep: 191000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 229.97
Timestep: 192000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 230.16
Timestep: 193000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 230.15
Timestep: 194000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 229.80
Timestep: 195000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 229.99
Timestep: 196000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 228.91
Timestep: 197000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 229.25
Timestep: 198000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 229.27
Timestep: 199000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 229.65
Timestep: 200000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 230.56
Timestep: 201000, Mean Reward (last 100): -20.47, Mean Episode Length (last 100): 229.97
Timestep: 202000, Mean Reward (last 100): -20.43, Mean Episode Length (last 100): 230.65
Timestep: 203000, Mean Reward (last 100): -20.42, Mean Episode Length (last 100): 230.87
Timestep: 204000, Mean Reward (last 100): -20.41, Mean Episode Length (last 100): 230.27
Timestep: 205000, Mean Reward (last 100): -20.41, Mean Episode Length (last 100): 230.38
Timestep: 206000, Mean Reward (last 100): -20.37, Mean Episode Length (last 100): 231.53
Timestep: 207000, Mean Reward (last 100): -20.37, Mean Episode Length (last 100): 231.36
Timestep: 208000, Mean Reward (last 100): -20.39, Mean Episode Length (last 100): 230.89
Timestep: 209000, Mean Reward (last 100): -20.41, Mean Episode Length (last 100): 229.07
Timestep: 210000, Mean Reward (last 100): -20.39, Mean Episode Length (last 100): 230.60
Timestep: 211000, Mean Reward (last 100): -20.37, Mean Episode Length (last 100): 230.02
Timestep: 212000, Mean Reward (last 100): -20.32, Mean Episode Length (last 100): 230.46
Timestep: 213000, Mean Reward (last 100): -20.34, Mean Episode Length (last 100): 230.15
Timestep: 214000, Mean Reward (last 100): -20.34, Mean Episode Length (last 100): 229.47
Timestep: 215000, Mean Reward (last 100): -20.34, Mean Episode Length (last 100): 229.03
Timestep: 216000, Mean Reward (last 100): -20.32, Mean Episode Length (last 100): 229.37
Timestep: 217000, Mean Reward (last 100): -20.30, Mean Episode Length (last 100): 230.45
Timestep: 218000, Mean Reward (last 100): -20.23, Mean Episode Length (last 100): 232.62
Timestep: 219000, Mean Reward (last 100): -20.22, Mean Episode Length (last 100): 233.69
Timestep: 220000, Mean Reward (last 100): -20.17, Mean Episode Length (last 100): 234.73
Timestep: 221000, Mean Reward (last 100): -20.13, Mean Episode Length (last 100): 236.04
Timestep: 222000, Mean Reward (last 100): -20.07, Mean Episode Length (last 100): 237.27
Timestep: 223000, Mean Reward (last 100): -20.07, Mean Episode Length (last 100): 237.65
Timestep: 224000, Mean Reward (last 100): -20.09, Mean Episode Length (last 100): 237.06
Timestep: 225000, Mean Reward (last 100): -20.12, Mean Episode Length (last 100): 236.81
